INFO  - 2015-12-10 13:02:59.105; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70237 (1520171985512955904)]} 0 1
INFO  - 2015-12-10 13:02:59.149; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70238 (1520171985558044672)]} 0 2
INFO  - 2015-12-10 13:02:59.327; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70239 (1520171985742594048)]} 0 5
INFO  - 2015-12-10 13:02:59.419; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70240 (1520171985838014464)]} 0 5
INFO  - 2015-12-10 13:02:59.757; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70241 (1520171986195578880)]} 0 3
INFO  - 2015-12-10 13:02:59.808; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70245 (1520171986248007680)]} 0 3
INFO  - 2015-12-10 13:03:00.014; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70248 (1520171986467160064)]} 0 1
INFO  - 2015-12-10 13:03:00.063; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70250 (1520171986516443136)]} 0 2
INFO  - 2015-12-10 13:03:00.150; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70252 (1520171986608717824)]} 0 1
INFO  - 2015-12-10 13:03:00.226; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70254 (1520171986688409600)]} 0 1
INFO  - 2015-12-10 13:03:00.278; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70255 (1520171986736644096)]} 0 7
INFO  - 2015-12-10 13:03:00.353; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70256 (1520171986821578752)]} 0 1
INFO  - 2015-12-10 13:03:00.405; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70258 (1520171986875056128)]} 0 2
INFO  - 2015-12-10 13:03:00.451; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70259 (1520171986924339200)]} 0 1
INFO  - 2015-12-10 13:03:00.562; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70260 (1520171987038633984)]} 0 3
INFO  - 2015-12-10 13:03:00.613; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70261 (1520171987094208512)]} 0 2
